Pays;Wilaya;Date;Temps;Température ;Humidité
Algérie;Constantine;22/05/2022;13:02:00; 30.10C;25.00%
Algérie;Constantine;22/05/2022;13:02:01; 29.90C;26.00%
Algérie;Constantine;22/05/2022;13:02:02;29.80C;26.00%
Algérie;Constantine;22/05/2022;13:02:03; 29.70C; 25.00%
Algérie;Constantine;22/05/2022;13:02:04; 29.60C; 26.00%
Algérie;Constantine;22/05/2022;13:02:05; 29.60C; 26.00%
Algérie;Constantine;22/05/2022;13:02:06;29.40C; 27.00%
Algérie;Constantine;22/05/2022;13:02:07;29.40C;27.00%
Algérie;Constantine;22/05/2022;13:02:08;29.20C;27.00%
Algérie;Constantine;22/05/2022;13:02:09;29.10C; 26.00%
Algérie;Constantine;22/05/2022;13:02:10;29.10C;26.00%
Algérie;Constantine;22/05/2022;13:02:11;28.90C; 26.00%
Algérie;Constantine;22/05/2022;13:02:12; 28.90C;27.00%
Algérie;Constantine;22/05/2022;13:02:13;28.90C; 27.00%
Algérie;Constantine;22/05/2022;13:02:14; 28.80C; 27.00%
Algérie;Constantine;22/05/2022;13:02:15;28.70C;26.00%
Algérie;Constantine;22/05/2022;13:02:16; 28.70C;26.00%
Algérie;Constantine;22/05/2022;13:02:17; 28.70C;26.00%
